"행정구역별(시군구)","항목","단위","2010 년",
"기장군","여자","","47586",
"기장군","총내국인","","93106",
"기장군","남자","","45735",
"기장군","여자","","47371",
"기장군","총외국인","","677",
"기장군","남자","","462",
"기장군","여자","","215",
"대구광역시","총인구","","2446418",
"대구광역시","남자","","1212584",
"대구광역시","여자","","1233834",
"대구광역시","총내국인","","2431774",
"대구광역시","남자","","1204428",
"대구광역시","여자","","1227346",
"대구광역시","총외국인","","14644",
"대구광역시","남자","","8156",
"대구광역시","여자","","6488",
"중구","총인구","","72925",
"중구","남자","","35306",
"중구","여자","","37619",
"중구","총내국인","","72399",
"중구","남자","","35050",
"중구","여자","","37349",
"중구","총외국인","","526",
"중구","남자","","256",
"중구","여자","","270",
"동구","총인구","","319754",
"동구","남자","","158015",
"동구","여자","","161739",
"동구","총내국인","","319022",
"동구","남자","","157787",
"동구","여자","","161235",
"동구","총외국인","","732",
"동구","남자","","228",
"동구","여자","","504",
"서구","총인구","","211593",
"서구","남자","","105901",
"서구","여자","","105692",
"서구","총내국인","","210409",
"서구","남자","","105230",
"서구","여자","","105179",
"서구","총외국인","","1184",
"서구","남자","","671",
"서구","여자","","513",
"남구","총인구","","168574",
"남구","남자","","80914",
"남구","여자","","87660",
"남구","총내국인","","167873",
"남구","남자","","80618",
"남구","여자","","87255",
"남구","총외국인","","701",
"남구","남자","","296",
"남구","여자","","405",
"북구","총인구","","453228",
"북구","남자","","226693",
"북구","여자","","226535",
"북구","총내국인","","450218",
"북구","남자","","225171",
"북구","여자","","225047",
"북구","총외국인","","3010",
"북구","남자","","1522",
"북구","여자","","1488",
"수성구","총인구","","445365",
"수성구","남자","","218214",
"수성구","여자","","227151",
"수성구","총내국인","","444119",
"수성구","남자","","217631",
"수성구","여자","","226488",
"수성구","총외국인","","1246",
"수성구","남자","","583",
"수성구","여자","","663",
"달서구","총인구","","605752",
"달서구","남자","","302050",
"달서구","여자","","303702",
"달서구","총내국인","","600509",
"달서구","남자","","298794",
"달서구","여자","","301715",
"달서구","총외국인","","5243",
"달서구","남자","","3256",
"달서구","여자","","1987",
"달성군","총인구","","169227",
"달성군","남자","","85491",
"달성군","여자","","83736",
"달성군","총내국인","","167225",
"달성군","남자","","84147",
"달성군","여자","","83078",
"달성군","총외국인","","2002",
"달성군","남자","","1344",
"달성군","여자","","658",
"인천광역시","총인구","","2662509",
"인천광역시","남자","","1334576",
"인천광역시","여자","","1327933",
"인천광역시","총내국인","","2632035",
"인천광역시","남자","","1315562",
"인천광역시","여자","","1316473",
"인천광역시","총외국인","","30474",
"인천광역시","남자","","19014",
"인천광역시","여자","","11460",
"중구","총인구","","83623",
"중구","남자","","42337",
"중구","여자","","41286",
"중구","총내국인","","81846",
"중구","남자","","41458",
"중구","여자","","40388",
"중구","총외국인","","1777",
"중구","남자","","879",
"중구","여자","","898",
"동구","총인구","","73455",
"동구","남자","","36636",
"동구","여자","","36819",
"동구","총내국인","","72794",
"동구","남자","","36266",
"동구","여자","","36528",
"동구","총외국인","","661",
"동구","남자","","370",
"동구","여자","","291",
"남구","총인구","","416088",
"남구","남자","","209497",
"남구","여자","","206591",
"남구","총내국인","","411756",
"남구","남자","","207139",
"남구","여자","","204617",
"남구","총외국인","","4332",
"남구","남자","","2358",
"남구","여자","","1974",
"연수구","총인구","","277429",
"연수구","남자","","139642",
"연수구","여자","","137787",
"연수구","총내국인","","274352",
"연수구","남자","","137905",
"연수구","여자","","136447",
"연수구","총외국인","","3077",
"연수구","남자","","1737",
"연수구","여자","","1340",
"남동구","총인구","","460750",
"남동구","남자","","229800",
"남동구","여자","","230950",
"남동구","총내국인","","453903",
"남동구","남자","","224735",
"남동구","여자","","229168",
"남동구","총외국인","","6847",
"남동구","남자","","5065",
"남동구","여자","","1782",
"부평구","총인구","","547395",
"부평구","남자","","272182",
"부평구","여자","","275213",
"부평구","총내국인","","542433",
"부평구","남자","","269631",
"부평구","여자","","272802",
"부평구","총외국인","","4962",
"부평구","남자","","2551",
"부평구","여자","","2411",
"계양구","총인구","","336809",
"계양구","남자","","167551",
"계양구","여자","","169258",
"계양구","총내국인","","334970",
"계양구","남자","","166750",
"계양구","여자","","168220",
"계양구","총외국인","","1839",
"계양구","남자","","801",
"계양구","여자","","1038",
"서구","총인구","","395777",
"서구","남자","","201508",
"서구","여자","","194269",
"서구","총내국인","","389057",
"서구","남자","","196367",
"서구","여자","","192690",
"서구","총외국인","","6720",
"서구","남자","","5141",
"서구","여자","","1579",
"강화군","총인구","","56633",
"강화군","남자","","27535",
"강화군","여자","","29098",
"강화군","총내국인","","56423",
"강화군","남자","","27456",
"강화군","여자","","28967",
"강화군","총외국인","","210",
"강화군","남자","","79",
"강화군","여자","","131",
"옹진군","총인구","","14550",
"옹진군","남자","","7888",
"옹진군","여자","","6662",
"옹진군","총내국인","","14501",
"옹진군","남자","","7855",
"옹진군","여자","","6646",
"옹진군","총외국인","","49",
"옹진군","남자","","33",
"옹진군","여자","","16",
"광주광역시","총인구","","1475745",
"광주광역시","남자","","729330",
"광주광역시","여자","","746415",
"광주광역시","총내국인","","1466143",
"광주광역시","남자","","724161",
"광주광역시","여자","","741982",
"광주광역시","총외국인","","9602",
