"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),2017. 07,2017. 07,2017. 07,2015,2015,2015,2016,2016,2016
"행정구역(시군구)별(1)","행정구역(시군구)별(2)",연령별(1),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"경기도","고양시",3세,8546,4375,4171,9845,5093,4752,8701,4461,4240
"경기도","고양시",4세,9329,4782,4547,9564,4869,4695,9910,5105,4805
"경기도","고양시",5세,9724,5004,4720,9625,4955,4670,9617,4901,4716
"경기도","고양시",6세,10036,5157,4879,9217,4803,4414,9757,5005,4752
"경기도","고양시",7세,9346,4826,4520,9919,5077,4842,9263,4822,4441
"경기도","덕양구",0세,3139,1613,1526,3779,1891,1888,3507,1755,1752
"경기도","덕양구",1세,3813,1942,1871,4022,2068,1954,4058,2038,2020
"경기도","덕양구",2세,4142,2111,2031,3939,2030,1909,4041,2082,1959
"경기도","덕양구",3세,3934,1987,1947,4604,2417,2187,3929,2017,1912
"경기도","덕양구",4세,4229,2197,2032,4485,2282,2203,4542,2357,2185
"경기도","덕양구",5세,4423,2251,2172,4295,2235,2060,4403,2253,2150
"경기도","덕양구",6세,4463,2317,2146,4120,2139,1981,4225,2184,2041
"경기도","덕양구",7세,4059,2115,1944,4191,2148,2043,4055,2112,1943
"경기도","일산동구",0세,1784,940,844,2035,1040,995,1810,944,866
"경기도","일산동구",1세,2027,1051,976,2076,1084,992,2248,1153,1095
"경기도","일산동구",2세,2219,1166,1053,2094,1081,1013,2211,1144,1067
"경기도","일산동구",3세,2195,1102,1093,2388,1212,1176,2188,1130,1058
"경기도","일산동구",4세,2344,1209,1135,2289,1134,1155,2491,1274,1217
"경기도","일산동구",5세,2447,1266,1181,2503,1281,1222,2423,1202,1221
"경기도","일산동구",6세,2644,1316,1328,2384,1252,1132,2626,1335,1291
"경기도","일산동구",7세,2490,1280,1210,2606,1356,1250,2438,1282,1156
"경기도","일산서구",0세,1805,909,896,2284,1140,1144,2043,1046,997
"경기도","일산서구",1세,2353,1189,1164,2342,1181,1161,2449,1244,1205
"경기도","일산서구",2세,2480,1272,1208,2563,1286,1277,2402,1229,1173
"경기도","일산서구",3세,2417,1286,1131,2853,1464,1389,2584,1314,1270
"경기도","일산서구",4세,2756,1376,1380,2790,1453,1337,2877,1474,1403
"경기도","일산서구",5세,2854,1487,1367,2827,1439,1388,2791,1446,1345
"경기도","일산서구",6세,2929,1524,1405,2713,1412,1301,2906,1486,1420
"경기도","일산서구",7세,2797,1431,1366,3122,1573,1549,2770,1428,1342
"경기도","과천시",0세,287,162,125,452,219,233,359,186,173
"경기도","과천시",1세,377,187,190,479,234,245,412,201,211
"경기도","과천시",2세,385,202,183,517,263,254,453,223,230
"경기도","과천시",3세,431,221,210,543,284,259,467,234,233
"경기도","과천시",4세,445,221,224,551,278,273,529,270,259
"경기도","과천시",5세,489,240,249,559,298,261,516,245,271
"경기도","과천시",6세,513,260,253,569,292,277,525,281,244
"경기도","과천시",7세,513,274,239,636,323,313,543,283,260
"경기도","구리시",0세,1261,637,624,1446,746,700,1396,685,711
"경기도","구리시",1세,1591,794,797,1457,722,735,1641,847,794
"경기도","구리시",2세,1708,861,847,1516,799,717,1665,833,832
